wavelog_input,flatflux_input,flatflux_err_input,flatflux_input_sm
3027.854004,0.000000,0.000000,0.000000
3031.955811,0.000000,0.000000,0.000000
3036.063232,0.000000,0.000000,0.000000
3040.176270,0.000000,0.000000,0.000000
3044.294922,0.000000,0.000000,0.000000
3048.418945,0.000000,0.000000,0.000000
3052.548828,0.000000,0.000000,0.000000
3056.684082,0.000000,0.000000,0.000000
3060.825195,0.000000,0.000000,0.000000
3064.971680,0.000000,0.000000,0.000000
3069.124023,0.000000,0.000000,0.000000
3073.281738,0.000000,0.000000,0.000000
3077.445068,0.000000,0.000000,0.000000
3081.614258,0.000000,0.000000,0.000000
3085.789062,0.000000,0.000000,0.000000
3089.969238,0.000000,0.000000,0.000000
3094.155273,0.000000,0.000000,0.000000
3098.347168,0.000000,0.000000,0.000000
3102.544434,0.000000,0.000000,0.000000
3106.747559,0.000000,0.000000,0.000000
3110.956055,0.000000,0.000000,0.000000
3115.170654,0.000000,0.000000,0.000000
3119.390869,0.000000,0.000000,0.000000
3123.616943,0.000000,0.000000,0.000000
3127.848633,0.000000,0.000000,0.000000
3132.085938,0.000000,0.000000,0.000000
3136.329102,0.000000,0.000000,0.000000
3140.577881,0.000000,0.000000,0.000000
3144.832520,0.000000,0.000000,0.000000
3149.092773,0.000000,0.000000,0.000000
3153.358887,0.000000,0.000000,0.000000
3157.630859,0.000000,0.000000,0.000000
3161.908691,0.000000,0.000000,0.000000
3166.191895,0.000000,0.000000,0.000000
3170.481445,0.000000,0.000000,0.000000
3174.776367,0.000000,0.000000,0.000000
3179.077393,0.000000,0.000000,0.000000
3183.384277,0.000000,0.000000,0.000000
3187.696777,0.000000,0.000000,0.000000
3192.015137,-0.000000,0.000000,-0.000000
3196.339355,-0.000540,0.000225,-0.000315
3200.669434,-0.001413,0.000771,-0.001211
3205.005615,-0.001481,0.003235,-0.002603
3209.347412,-0.009968,0.006434,-0.004408
3213.695312,-0.012123,0.011743,-0.006502
3218.048828,-0.005971,0.017334,-0.008809
3222.408691,0.002249,0.025453,-0.011216
3226.773926,-0.006238,0.035224,-0.013551
3231.145264,0.016148,0.040459,-0.015831
3235.522461,0.033131,0.039445,-0.017825
3239.905762,-0.008600,0.044133,-0.019505
3244.294922,-0.041514,0.051049,-0.020840
3248.689941,0.050884,0.049167,-0.021495
3253.091064,0.046064,0.057098,-0.021807
3257.498047,-0.090023,0.058473,-0.021362
3261.911133,-0.075654,0.065782,-0.020318
